  20     24
   1     13   13.42
   1     14   16.58
   2     18   11.30
   2     19   13.42
   3      6   11.23
   3     11   18.65
   4      5   19.63
   4      9   19.56
   4     15   18.11
   4     17   15.37
   6     11   19.36
   7     10   14.14
   7     16   10.86
   8      9   11.47
   8     12   16.21
   8     15   10.03
   9     15   2.70
  10     11   11.73
  10     18   17.60
  11     18   13.28
  12     14   17.58
  12     19   19.80
  14     20   16.05
  18     19   18.23
