  30     54
   1      6   8.85
   2      3   10.34
   2      4   17.33
   2     13   11.57
   2     19   18.85
   2     21   18.87
   3      4   18.61
   3     13   19.82
   3     19   8.69
   3     22   19.77
   4      5   16.21
   4     13   13.12
   5      7   13.22
   5     22   17.62
   6     16   19.82
   6     30   17.69
   8      9   17.24
   8     18   3.97
   8     19   15.67
   8     20   10.79
   9     14   15.48
   9     18   16.51
   9     20   7.15
   9     23   18.35
   9     24   6.66
  10     11   10.32
  10     25   12.68
  10     26   18.36
  11     23   10.91
  11     25   4.82
  11     26   8.40
  12     15   12.95
  12     30   17.47
  14     20   19.21
  14     24   12.55
  15     17   17.61
  15     27   14.96
  16     21   9.43
  16     30   7.68
  17     27   4.16
  17     29   19.34
  18     19   16.47
  18     20   11.21
  19     22   17.06
  19     28   15.52
  20     23   17.15
  20     24   13.66
  20     25   17.59
  20     26   19.43
  21     30   13.77
  22     28   8.19
  23     25   7.72
  23     26   3.10
  25     26   6.39
